partnerCode,year,hs_code,value,ctry_total_value,ctry_hs_share,cmdCode_clean,hs_desc,cluster_name
0,2018,6203,1648850.368,1944328664.4029999,0.0008480306844142908,6203,"Men's or boys' suits, ensembles and trousers",Apparel growth / volatile
0,2018,6204,8904644.749,1944328664.4029999,0.004579804285163971,6204,"Women's or girls' suits, ensembles, dresses and skirts",High-value expansion goods
0,2018,6205,2170304.403,1944328664.4029999,0.001116223014521254,6205,Men's or boys' shirts,Low-growth / niche goods
0,2018,6206,1602013.145,1944328664.4029999,0.0008239415353637721,6206,Women's or girls' blouses and shirts,Low-growth / niche goods
0,2018,6207,112457.474,1944328664.4029999,5.783871629261287e-05,6207,"Men's or boys' singlets, underpants and similar articles",Low-growth / niche goods
0,2018,6208,237455.07,1944328664.4029999,0.0001221270222197284,6208,"Women's or girls' singlets, slips and similar articles",Apparel growth / volatile
0,2018,6209,96522.498,1944328664.4029999,4.964309777824365e-05,6209,Babies' garments and clothing accessories,Premium anomaly goods
0,2018,6210,106693.469,1944328664.4029999,5.487419434448337e-05,6210,Garments made up of felt or nonwovens,Apparel growth / volatile
0,2018,6212,153092.279,1944328664.4029999,7.873786042598231e-05,6212,"Brassieres, girdles, corsets and similar articles",Apparel growth / volatile
0,2018,6213,51699.663,1944328664.4029999,2.6589981388704273e-05,6213,Handkerchiefs,Low-growth / niche goods
0,2018,6214,331210.285,1944328664.4029999,0.00017034686113713037,6214,"Shawls, scarves, mufflers and similar articles",Apparel growth / volatile
0,2018,6215,12607.148,1944328664.4029999,6.484062201423639e-06,6215,"Ties, bow ties and cravats",Apparel growth / volatile
0,2018,6216,163929.08,1944328664.4029999,8.43114042400511e-05,6216,"Gloves, mittens and mitts",Apparel growth / volatile
0,2018,6217,33959594.233,1944328664.4029999,0.017465974171309764,6217,Other made up clothing accessories,High-value expansion goods
0,2018,8517,34844192.008,1944328664.4029999,0.017920937260213054,8517,Telephone sets and communication apparatus,High-value expansion goods
0,2018,8523,6633369.234,1944328664.4029999,0.0034116501779994876,8523,Storage media and recording media,High-value expansion goods
0,2018,8525,3238300.609,1944328664.4029999,0.0016655109129887309,8525,Transmission apparatus for radio or television,High-value expansion goods
0,2018,8526,2902511.456,1944328664.4029999,0.0014928090652262264,8526,Radar and radio navigational apparatus,High-value expansion goods
0,2018,8527,3326356.92,1944328664.4029999,0.0017107997124659721,8527,Radio-broadcast receivers,Low-growth / niche goods
0,2018,8528,49103301.416,1944328664.4029999,0.025254630204753485,8528,"Monitors, projectors and television receivers",High-value expansion goods
0,2018,8543,13459179.718,1944328664.4029999,0.006922276035123208,8543,Electrical machines and apparatus with individual functions,High-value expansion goods
0,2018,8544,333882489.289,1944328664.4029999,0.17172121946343755,8544,"Insulated wire, cable and conductors",High-value expansion goods
0,2019,1901,72839499.41,2026874783.134,0.03593685215096213,1901,Malt extract and food preparations of flour/starch/milk,Postal-friendly core goods
0,2019,1902,201563373.83,2026874783.134,0.09944540013386427,1902,"Pasta, whether or not cooked or stuffed",Postal-friendly core goods
0,2019,1904,17794025.56,2026874783.134,0.008779045310577336,1904,Prepared foods obtained by swelling or roasting cereals,Postal-friendly core goods
0,2019,1905,51527847.849,2026874783.134,0.025422314332277825,1905,"Bread, pastry, cakes, biscuits and other bakers' wares",Postal-friendly core goods
0,2019,2101,33814114.385,2026874783.134,0.01668288276432935,2101,"Coffee, tea or mate extracts and concentrates",High-value expansion goods
0,2019,2103,99750451.278,2026874783.134,0.04921391893966117,2103,"Sauces, mixed condiments and seasonings",Postal-friendly core goods
0,2019,2104,5358822.995,2026874783.134,0.0026438845850724263,2104,"Soups, broths and preparations therefor",High-value expansion goods
0,2019,2106,210371880.331,2026874783.134,0.10379125641186289,2106,Food preparations not elsewhere specified,High-value expansion goods
0,2019,3004,16791396.796,2026874783.134,0.00828437796736351,3004,Medicaments in measured doses or retail sale,High-value expansion goods
0,2019,3005,5173497.513,2026874783.134,0.002552450479945594,3005,"Wadding, gauze, bandages and similar medical articles",Postal-friendly core goods
0,2019,3006,1074112.742,2026874783.134,0.0005299354212395807,3006,Pharmaceutical goods,Postal-friendly core goods
0,2019,3303,673727.427,2026874783.134,0.0003323971626694508,3303,Perfumes and toilet waters,Apparel growth / volatile
0,2019,3304,211277716.093,2026874783.134,0.1042381689540375,3304,"Beauty, make-up and skin-care preparations",Postal-friendly core goods
0,2019,3305,41634366.665,2026874783.134,0.020541163672984274,3305,Hair preparations,Postal-friendly core goods
0,2019,3306,13438647.581,2026874783.134,0.0066302307832854165,3306,Oral or dental hygiene preparations,High-value expansion goods
0,2019,3307,76879845.672,2026874783.134,0.03793023935752293,3307,"Shaving, deodorant, bath and perfumery preparations",Postal-friendly core goods
0,2019,3923,277932155.342,2026874783.134,0.13712349556801676,3923,Plastic packing and conveyance articles,Postal-friendly core goods
0,2019,3924,18781833.346,2026874783.134,0.009266400422111474,3924,"Plastic tableware, kitchenware and household articles",High-value expansion goods
0,2019,3926,122038899.488,2026874783.134,0.060210379300935736,3926,Other articles of plastics,Postal-friendly core goods
0,2019,4902,7984898.88,2026874783.134,0.003939512665727464,4902,"Newspapers, journals and periodicals",High-value expansion goods
0,2019,4903,307225.51,2026874783.134,0.000151575969347727,4903,"Children's picture, drawing or colouring books",Apparel growth / volatile
0,2019,4909,348531.66,2026874783.134,0.00017195520063705778,4909,Printed postcards and greeting cards,High-value expansion goods
0,2019,4911,5456640.57,2026874783.134,0.0026921448800911216,4911,Other printed matter,High-value expansion goods
0,2019,6101,104349.562,2026874783.134,5.1482983985153895e-05,6101,"Men's or boys' overcoats, knitted or crocheted",Apparel growth / volatile
0,2019,6102,75028.72,2026874783.134,3.701694876483138e-05,6102,"Women's or girls' overcoats, knitted or crocheted",Low-growth / niche goods
0,2019,6103,1286645.606,2026874783.134,0.0006347928430046177,6103,"Men's or boys' suits and ensembles, knitted or crocheted",Apparel growth / volatile
0,2019,6104,1983926.038,2026874783.134,0.0009788103609106075,6104,"Women's or girls' suits and ensembles, knitted or crocheted",High-value expansion goods
0,2019,6105,856381.352,2026874783.134,0.00042251320068023324,6105,"Men's or boys' shirts, knitted or crocheted",Apparel growth / volatile
0,2019,6106,1450537.509,2026874783.134,0.0007156522549247693,6106,"Women's or girls' blouses and shirts, knitted or crocheted",Apparel growth / volatile
0,2019,6107,658524.187,2026874783.134,0.00032489633423815893,6107,"Men's or boys' underpants, nightshirts and similar articles",Low-growth / niche goods
0,2019,6108,407166.655,2026874783.134,0.0002008839709231715,6108,"Women's or girls' slips, panties, nightdresses and similar articles",Apparel growth / volatile
0,2019,6109,16956489.334,2026874783.134,0.008365829737040533,6109,"T-shirts, singlets and other vests, knitted or crocheted",High-value expansion goods
0,2019,6110,2192534.998,2026874783.134,0.001081731844633171,6110,"Jerseys, pullovers, cardigans and similar articles",High-value expansion goods
0,2019,6112,58591.056,2026874783.134,2.8907092084595957e-05,6112,"Track suits, ski suits and swimwear, knitted or crocheted",Apparel growth / volatile
0,2019,6113,14697.09,2026874783.134,7.251109008951715e-06,6113,Garments made up of knitted or crocheted fabrics,Low-growth / niche goods
0,2019,6114,977203.657,2026874783.134,0.0004821233482854947,6114,"Other garments, knitted or crocheted",Apparel growth / volatile
0,2019,6115,5246588.173,2026874783.134,0.0025885112472945203,6115,"Pantyhose, socks and other hosiery",High-value expansion goods
0,2019,6116,6034409.879,2026874783.134,0.002977199148765104,6116,"Gloves, mittens and mitts, knitted or crocheted",Low-growth / niche goods
0,2019,6117,2870476.676,2026874783.134,0.0014162081939574005,6117,"Other made up clothing accessories, knitted or crocheted",Low-growth / niche goods
0,2019,6201,3172869.729,2026874783.134,0.0015653999721157103,6201,Men's or boys' overcoats and similar coats,Apparel growth / volatile
0,2019,6202,935108.125,2026874783.134,0.0004613546592918357,6202,Women's or girls' overcoats and similar coats,Apparel growth / volatile
0,2019,6203,1111195.807,2026874783.134,0.0005482311074401171,6203,"Men's or boys' suits, ensembles and trousers",Apparel growth / volatile
0,2019,6205,2281847.021,2026874783.134,0.0011257957521538435,6205,Men's or boys' shirts,Low-growth / niche goods
0,2019,6206,1881042.877,2026874783.134,0.0009280508557571024,6206,Women's or girls' blouses and shirts,Low-growth / niche goods
0,2019,6207,149623.386,2026874783.134,7.381974813888054e-05,6207,"Men's or boys' singlets, underpants and similar articles",Low-growth / niche goods
0,2019,6208,170838.111,2026874783.134,8.428646526246985e-05,6208,"Women's or girls' singlets, slips and similar articles",Apparel growth / volatile
0,2019,6209,119785.64,2026874783.134,5.90986877910557e-05,6209,Babies' garments and clothing accessories,Premium anomaly goods
0,2019,6210,111497.41,2026874783.134,5.500952053268933e-05,6210,Garments made up of felt or nonwovens,Apparel growth / volatile
0,2019,6212,159581.642,2026874783.134,7.873285677433472e-05,6212,"Brassieres, girdles, corsets and similar articles",Apparel growth / volatile
0,2019,6213,44327.618,2026874783.134,2.186993413153013e-05,6213,Handkerchiefs,Low-growth / niche goods
0,2019,6214,286990.181,2026874783.134,0.0001415924572095417,6214,"Shawls, scarves, mufflers and similar articles",Apparel growth / volatile
0,2019,6215,9151.919,2026874783.134,4.51528583618229e-06,6215,"Ties, bow ties and cravats",Apparel growth / volatile
0,2019,6216,104755.438,2026874783.134,5.168323118511778e-05,6216,"Gloves, mittens and mitts",Apparel growth / volatile
0,2019,6217,30534605.804,2026874783.134,0.01506487034033089,6217,Other made up clothing accessories,High-value expansion goods
0,2019,8517,28605935.234,2026874783.134,0.014113321391156118,8517,Telephone sets and communication apparatus,High-value expansion goods
0,2019,8523,7845935.251,2026874783.134,0.0038709521260452194,8523,Storage media and recording media,High-value expansion goods
0,2019,8525,3129568.47,2026874783.134,0.001544036413123158,8525,Transmission apparatus for radio or television,High-value expansion goods
0,2019,8526,3200809.046,2026874783.134,0.001579184403809512,8526,Radar and radio navigational apparatus,High-value expansion goods
0,2019,8527,3503186.68,2026874783.134,0.0017283685746897956,8527,Radio-broadcast receivers,Low-growth / niche goods
0,2019,8528,38551879.137,2026874783.134,0.019020355602525286,8528,"Monitors, projectors and television receivers",High-value expansion goods
0,2019,8536,54751446.782,2026874783.134,0.027012742591499442,8536,Electrical switching or circuit protection apparatus,Postal-friendly core goods
0,2019,8543,16129342.558,2026874783.134,0.007957740010490655,8543,Electrical machines and apparatus with individual functions,High-value expansion goods
0,2019,8544,296096397.853,2026874783.134,0.14608519495968517,8544,"Insulated wire, cable and conductors",High-value expansion goods
0,2020,1901,77250668.422,1997990346.9980001,0.03866418500873635,1901,Malt extract and food preparations of flour/starch/milk,Postal-friendly core goods
0,2020,1902,252908365.548,1997990346.9980001,0.1265813750942277,1902,"Pasta, whether or not cooked or stuffed",Postal-friendly core goods
0,2020,1904,23329738.268,1997990346.9980001,0.011676602093224903,1904,Prepared foods obtained by swelling or roasting cereals,Postal-friendly core goods
0,2020,1905,58700177.547,1997990346.9980001,0.029379610184402334,1905,"Bread, pastry, cakes, biscuits and other bakers' wares",Postal-friendly core goods
0,2020,2101,35079483.479,1997990346.9980001,0.01755738386409487,2101,"Coffee, tea or mate extracts and concentrates",High-value expansion goods
0,2020,2103,121616007.516,1997990346.9980001,0.060869166709803794,2103,"Sauces, mixed condiments and seasonings",Postal-friendly core goods
0,2020,2104,8607760.137,1997990346.9980001,0.004308209071146536,2104,"Soups, broths and preparations therefor",High-value expansion goods
0,2020,3004,30000707.17,1997990346.9980001,0.01501544149854195,3004,Medicaments in measured doses or retail sale,High-value expansion goods
0,2020,3005,4834196.005,1997990346.9980001,0.002419529209569719,3005,"Wadding, gauze, bandages and similar medical articles",Postal-friendly core goods
0,2020,3006,859181.307,1997990346.9980001,0.00043002275175699835,3006,Pharmaceutical goods,Postal-friendly core goods
0,2020,3303,501454.406,1997990346.9980001,0.00025097939374604095,3303,Perfumes and toilet waters,Apparel growth / volatile
0,2020,3304,229841654.423,1997990346.9980001,0.11503641885374437,3304,"Beauty, make-up and skin-care preparations",Postal-friendly core goods
0,2020,3305,45917966.226,1997990346.9980001,0.022982076112125462,3305,Hair preparations,Postal-friendly core goods
0,2020,3306,15003530.004,1997990346.9980001,0.00750931055625116,3306,Oral or dental hygiene preparations,High-value expansion goods
0,2020,3307,99593797.078,1997990346.9980001,0.04984698611163995,3307,"Shaving, deodorant, bath and perfumery preparations",Postal-friendly core goods
0,2020,3923,281096673.003,1997990346.9980001,0.1406897052457488,3923,Plastic packing and conveyance articles,Postal-friendly core goods
0,2020,3924,18182238.397,1997990346.9980001,0.009100263384314638,3924,"Plastic tableware, kitchenware and household articles",High-value expansion goods
0,2020,3926,116522939.443,1997990346.9980001,0.05832007127465698,3926,Other articles of plastics,Postal-friendly core goods
0,2020,4901,16873359.394,1997990346.9980001,0.008445165623223548,4901,"Printed books, brochures and similar printed matter",Postal-friendly core goods
0,2020,4902,27417334.12,1997990346.9980001,0.01372245574719358,4902,"Newspapers, journals and periodicals",High-value expansion goods
0,2020,4903,340764.39,1997990346.9980001,0.00017055357174873334,4903,"Children's picture, drawing or colouring books",Apparel growth / volatile
0,2020,4909,299504.787,1997990346.9980001,0.00014990302002710316,4909,Printed postcards and greeting cards,High-value expansion goods
0,2020,4911,6417868.956,1997990346.9980001,0.0032121621436474457,4911,Other printed matter,High-value expansion goods
0,2020,6101,159545.226,1997990346.9980001,7.985285126112758e-05,6101,"Men's or boys' overcoats, knitted or crocheted",Apparel growth / volatile
0,2020,6102,79073.972,1997990346.9980001,3.957675377101266e-05,6102,"Women's or girls' overcoats, knitted or crocheted",Low-growth / niche goods
0,2020,6103,1303850.878,1997990346.9980001,0.0006525811698535224,6103,"Men's or boys' suits and ensembles, knitted or crocheted",Apparel growth / volatile
0,2020,6104,1826279.843,1997990346.9980001,0.0009140583915953364,6104,"Women's or girls' suits and ensembles, knitted or crocheted",High-value expansion goods
0,2020,6105,1133772.505,1997990346.9980001,0.0005674564477768895,6105,"Men's or boys' shirts, knitted or crocheted",Apparel growth / volatile
0,2020,6106,2103053.309,1997990346.9980001,0.0010525843191183872,6106,"Women's or girls' blouses and shirts, knitted or crocheted",Apparel growth / volatile
0,2020,6107,659385.358,1997990346.9980001,0.00033002429615875415,6107,"Men's or boys' underpants, nightshirts and similar articles",Low-growth / niche goods
0,2020,6108,466958.601,1997990346.9980001,0.00023371414266420748,6108,"Women's or girls' slips, panties, nightdresses and similar articles",Apparel growth / volatile
0,2020,6109,14499419.132,1997990346.9980001,0.0072570015935189665,6109,"T-shirts, singlets and other vests, knitted or crocheted",High-value expansion goods
0,2020,6110,1856564.501,1997990346.9980001,0.0009292159513130311,6110,"Jerseys, pullovers, cardigans and similar articles",High-value expansion goods
0,2020,6111,216584.312,1997990346.9980001,0.00010840108027820056,6111,"Babies' garments and clothing accessories, knitted or crocheted",Premium anomaly goods
0,2020,6112,119179.006,1997990346.9980001,5.964944033842186e-05,6112,"Track suits, ski suits and swimwear, knitted or crocheted",Apparel growth / volatile
0,2020,6113,33032.979,1997990346.9980001,1.6533102399434698e-05,6113,Garments made up of knitted or crocheted fabrics,Low-growth / niche goods
0,2020,6114,1385600.204,1997990346.9980001,0.0006934969461098136,6114,"Other garments, knitted or crocheted",Apparel growth / volatile
0,2020,6115,7197198.282,1997990346.9980001,0.003602218745858237,6115,"Pantyhose, socks and other hosiery",High-value expansion goods
0,2020,6116,5715988.228,1997990346.9980001,0.0028608687907768562,6116,"Gloves, mittens and mitts, knitted or crocheted",Low-growth / niche goods
0,2020,6117,3292319.908,1997990346.9980001,0.0016478157229071414,6117,"Other made up clothing accessories, knitted or crocheted",Low-growth / niche goods
0,2020,6201,2955397.801,1997990346.9980001,0.0014791852250139817,6201,Men's or boys' overcoats and similar coats,Apparel growth / volatile
0,2020,6202,705093.999,1997990346.9980001,0.00035290160438433075,6202,Women's or girls' overcoats and similar coats,Apparel growth / volatile
0,2020,6203,813092.523,1997990346.9980001,0.0004069551808504378,6203,"Men's or boys' suits, ensembles and trousers",Apparel growth / volatile
0,2020,6204,9260828.882,1997990346.9980001,0.004635071884063146,6204,"Women's or girls' suits, ensembles, dresses and skirts",High-value expansion goods
0,2020,6206,3009973.405,1997990346.9980001,0.0015065004741001446,6206,Women's or girls' blouses and shirts,Low-growth / niche goods
0,2020,6207,139256.188,1997990346.9980001,6.969812852661364e-05,6207,"Men's or boys' singlets, underpants and similar articles",Low-growth / niche goods
0,2020,6208,191493.821,1997990346.9980001,9.584321630368301e-05,6208,"Women's or girls' singlets, slips and similar articles",Apparel growth / volatile
0,2020,6210,1850415.665,1997990346.9980001,0.0009261384409490604,6210,Garments made up of felt or nonwovens,Apparel growth / volatile
0,2020,6211,3639237.69,1997990346.9980001,0.0018214490853111426,6211,"Track suits, ski suits, swimwear and other garments",High-value expansion goods
0,2020,6212,158663.684,1997990346.9980001,7.941163691726225e-05,6212,"Brassieres, girdles, corsets and similar articles",Apparel growth / volatile
0,2020,6213,29597.837,1997990346.9980001,1.4813803802641508e-05,6213,Handkerchiefs,Low-growth / niche goods
0,2020,6214,177262.764,1997990346.9980001,8.87205307404708e-05,6214,"Shawls, scarves, mufflers and similar articles",Apparel growth / volatile
0,2020,6215,6093.772,1997990346.9980001,3.0499506712612257e-06,6215,"Ties, bow ties and cravats",Apparel growth / volatile
0,2020,6216,83903.532,1997990346.9980001,4.1993962646549255e-05,6216,"Gloves, mittens and mitts",Apparel growth / volatile
0,2020,6217,23856194.687,1997990346.9980001,0.01194009506744823,6217,Other made up clothing accessories,High-value expansion goods
0,2020,8517,22253985.065,1997990346.9980001,0.011138184475433943,8517,Telephone sets and communication apparatus,High-value expansion goods
0,2020,8525,2937824.278,1997990346.9980001,0.00147038962546246,8525,Transmission apparatus for radio or television,High-value expansion goods
0,2020,8526,2553793.369,1997990346.9980001,0.0012781810346767187,8526,Radar and radio navigational apparatus,High-value expansion goods
0,2020,8527,2884538.543,1997990346.9980001,0.001443719959575404,8527,Radio-broadcast receivers,Low-growth / niche goods
0,2020,8528,25284023.198,1997990346.9980001,0.01265472740445893,8528,"Monitors, projectors and television receivers",High-value expansion goods
0,2020,8536,54801894.659,1997990346.9980001,0.0274285082214438,8536,Electrical switching or circuit protection apparatus,Postal-friendly core goods
0,2020,8543,15725578.04,1997990346.9980001,0.007870697705635981,8543,Electrical machines and apparatus with individual functions,High-value expansion goods
0,2020,8544,311429027.326,1997990346.9980001,0.15587113711231143,8544,"Insulated wire, cable and conductors",High-value expansion goods
0,2021,1901,82763194.946,2314508249.803,0.035758435923935204,1901,Malt extract and food preparations of flour/starch/milk,Postal-friendly core goods
0,2021,1902,277621948.512,2314508249.803,0.11994856727584786,1902,"Pasta, whether or not cooked or stuffed",Postal-friendly core goods
0,2021,1904,31389466.757,2314508249.803,0.01356204574326824,1904,Prepared foods obtained by swelling or roasting cereals,Postal-friendly core goods
0,2021,1905,65207325.696,2314508249.803,0.028173295861680398,1905,"Bread, pastry, cakes, biscuits and other bakers' wares",Postal-friendly core goods
0,2021,2101,34712774.891,2314508249.803,0.01499790501673718,2101,"Coffee, tea or mate extracts and concentrates",High-value expansion goods
0,2021,2103,132027532.155,2314508249.803,0.057043448501960435,2103,"Sauces, mixed condiments and seasonings",Postal-friendly core goods
0,2021,2104,9643875.258,2314508249.803,0.004166705933677636,2104,"Soups, broths and preparations therefor",High-value expansion goods
0,2021,2106,200607607.125,2314508249.803,0.08667396503861016,2106,Food preparations not elsewhere specified,High-value expansion goods
0,2021,3004,17594402.194,2314508249.803,0.007601788498916584,3004,Medicaments in measured doses or retail sale,High-value expansion goods
0,2021,3005,4982937.785,2314508249.803,0.0021529142466543915,3005,"Wadding, gauze, bandages and similar medical articles",Postal-friendly core goods
0,2021,3006,1098926.402,2314508249.803,0.0004747990861961868,3006,Pharmaceutical goods,Postal-friendly core goods
0,2021,3303,263661.769,2314508249.803,0.00011391697092565629,3303,Perfumes and toilet waters,Apparel growth / volatile
0,2021,3304,253673607.662,2314508249.803,0.10960151370538061,3304,"Beauty, make-up and skin-care preparations",Postal-friendly core goods
0,2021,3305,48916979.007,2314508249.803,0.021134933958936453,3305,Hair preparations,Postal-friendly core goods
0,2021,3306,15749739.495,2314508249.803,0.006804788661410277,3306,Oral or dental hygiene preparations,High-value expansion goods
0,2021,3307,95836161.906,2314508249.803,0.04140670568539003,3307,"Shaving, deodorant, bath and perfumery preparations",Postal-friendly core goods
0,2021,3923,304615801.999,2314508249.803,0.1316114565696309,3923,Plastic packing and conveyance articles,Postal-friendly core goods
0,2021,3924,18210687.241,2314508249.803,0.007868058903030486,3924,"Plastic tableware, kitchenware and household articles",High-value expansion goods
0,2021,3926,125444611.924,2314508249.803,0.05419925028769167,3926,Other articles of plastics,Postal-friendly core goods
0,2021,4901,22160486.039,2314508249.803,0.00957459799112239,4901,"Printed books, brochures and similar printed matter",Postal-friendly core goods
0,2021,4902,30683833.835,2314508249.803,0.013257171944671903,4902,"Newspapers, journals and periodicals",High-value expansion goods
0,2021,4903,253360.971,2314508249.803,0.00010946643677833721,4903,"Children's picture, drawing or colouring books",Apparel growth / volatile
0,2021,4909,376365.528,2314508249.803,0.00016261144371899924,4909,Printed postcards and greeting cards,High-value expansion goods
0,2021,4911,7715416.901,2314508249.803,0.003333501577130563,4911,Other printed matter,High-value expansion goods
0,2021,6102,103900.621,2314508249.803,4.489101346207927e-05,6102,"Women's or girls' overcoats, knitted or crocheted",Low-growth / niche goods
0,2021,6103,1295219.365,2314508249.803,0.0005596088780890036,6103,"Men's or boys' suits and ensembles, knitted or crocheted",Apparel growth / volatile
0,2021,6104,2529802.509,2314508249.803,0.0010930194391034576,6104,"Women's or girls' suits and ensembles, knitted or crocheted",High-value expansion goods
0,2021,6105,676773.36,2314508249.803,0.00029240481646915874,6105,"Men's or boys' shirts, knitted or crocheted",Apparel growth / volatile
0,2021,6106,1843568.236,2314508249.803,0.0007965269668651715,6106,"Women's or girls' blouses and shirts, knitted or crocheted",Apparel growth / volatile
0,2021,6107,862065.318,2314508249.803,0.00037246154472483515,6107,"Men's or boys' underpants, nightshirts and similar articles",Low-growth / niche goods
0,2021,6108,627553.437,2314508249.803,0.00027113899337080107,6108,"Women's or girls' slips, panties, nightdresses and similar articles",Apparel growth / volatile
0,2021,6109,15986503.011,2314508249.803,0.006907084047922792,6109,"T-shirts, singlets and other vests, knitted or crocheted",High-value expansion goods
