partnerCode,prev_year,year,year_pair,ctry_hs_js_similarity,ctry_hs_js_distance,ctry_common_hs_count,ctry_new_hs_count,ctry_lost_hs_count,ctry_filtered_hs_count
44,2022,2023,2022-2023,0.012491494705125783,0.9875085052948742,4,5,0,9
44,2023,2024,2023-2024,0.4659861964280466,0.5340138035719534,8,5,1,14
48,2018,2019,2018-2019,0.9076445516224896,0.09235544837751042,22,0,0,22
48,2019,2020,2019-2020,0.8150735557127268,0.18492644428727323,22,1,0,23
48,2020,2021,2020-2021,0.8570670516686054,0.14293294833139458,23,0,0,23
48,2021,2022,2021-2022,0.8602941095528494,0.13970589044715065,24,0,1,25
48,2022,2023,2022-2023,0.377878604544028,0.622121395455972,32,1,0,33
48,2023,2024,2023-2024,0.2790367530399773,0.7209632469600227,34,0,0,34
50,2018,2019,2018-2019,0.8126617337185992,0.18733826628140082,33,0,1,34
50,2019,2020,2019-2020,0.7767639751236324,0.22323602487636762,30,3,1,34
50,2020,2021,2020-2021,0.8667728648312689,0.13322713516873108,31,1,2,34
50,2021,2022,2021-2022,0.7422555223394955,0.25774447766050446,29,1,3,33
50,2022,2023,2022-2023,0.7770178537737374,0.22298214622626256,30,1,0,31
50,2023,2024,2023-2024,0.8863073255187464,0.11369267448125364,31,1,0,32
51,2018,2019,2018-2019,0.5997406498711885,0.40025935012881153,17,2,4,23
51,2019,2020,2019-2020,0.7734532910952405,0.22654670890475948,16,0,1,17
51,2020,2021,2020-2021,0.6906853884818172,0.30931461151818285,17,3,0,20
51,2021,2022,2021-2022,0.7246483241006677,0.2753516758993323,18,1,3,22
51,2022,2023,2022-2023,0.8738670468183618,0.1261329531816382,21,0,0,21
51,2023,2024,2023-2024,0.6614434750580795,0.33855652494192046,20,0,3,23
52,2018,2019,2018-2019,0.4754004511257095,0.5245995488742905,4,3,3,10
52,2019,2020,2019-2020,0.08930461019100466,0.9106953898089953,5,1,2,8
52,2020,2021,2020-2021,0.08228877815066826,0.9177112218493317,4,2,1,7
52,2021,2022,2021-2022,0.27881031884785634,0.7211896811521437,4,2,2,8
52,2022,2023,2022-2023,0.3034647707737931,0.6965352292262069,5,3,1,9
52,2023,2024,2023-2024,0.00999025443920043,0.9900097455607996,5,6,3,14
56,2018,2019,2018-2019,0.5772260081585554,0.4227739918414446,36,4,0,40
56,2019,2020,2019-2020,0.7341977598102323,0.2658022401897677,40,0,0,40
56,2020,2021,2020-2021,0.7326118289739627,0.2673881710260373,35,0,0,35
56,2021,2022,2021-2022,0.7743949068874068,0.22560509311259325,32,0,1,33
56,2022,2023,2022-2023,0.6577334624916135,0.34226653750838654,37,0,0,37
56,2023,2024,2023-2024,0.8396401089263154,0.16035989107368465,42,1,0,43
60,2018,2019,2018-2019,0.6526836572522517,0.34731634274774825,4,3,2,9
60,2019,2020,2019-2020,0.13953990152760176,0.8604600984723982,4,3,3,10
60,2020,2021,2020-2021,0.1456421663356876,0.8543578336643124,4,7,3,14
60,2021,2022,2021-2022,0.8227795055236222,0.17722049447637778,7,1,4,12
60,2022,2023,2022-2023,0.16110324771311424,0.8388967522868858,6,7,2,15
60,2023,2024,2023-2024,0.2253439859242885,0.7746560140757115,8,6,5,19
64,2018,2019,2018-2019,0.10009202703886433,0.8999079729611357,6,11,1,18
64,2019,2020,2019-2020,0.4960175119758181,0.5039824880241819,17,3,1,21
64,2020,2021,2020-2021,0.8633910423228484,0.13660895767715164,14,2,2,18
64,2021,2022,2021-2022,0.8450893300564747,0.15491066994352531,14,3,1,18
64,2022,2023,2022-2023,0.9273372319257837,0.07266276807421634,11,0,5,16
64,2023,2024,2023-2024,0.9098299727410325,0.0901700272589675,11,1,0,12
68,2018,2019,2018-2019,0.6800514125244644,0.31994858747553556,22,1,1,24
68,2019,2020,2019-2020,0.599518982188928,0.40048101781107204,22,3,3,28
68,2020,2021,2020-2021,0.7316442757656043,0.2683557242343957,24,1,3,28
68,2021,2022,2021-2022,0.7675372173683217,0.2324627826316783,26,8,1,35
68,2022,2023,2022-2023,0.7463058199274806,0.2536941800725194,24,2,8,34
68,2023,2024,2023-2024,0.7861087412537734,0.2138912587462266,24,1,1,26
70,2018,2019,2018-2019,0.6563476100533063,0.34365238994669367,15,2,1,18
70,2019,2020,2019-2020,0.35709478808864703,0.642905211911353,14,0,3,17
70,2020,2021,2020-2021,0.31543059815173746,0.6845694018482625,13,6,1,20
70,2021,2022,2021-2022,0.4481424234115299,0.5518575765884701,16,3,3,22
70,2022,2023,2022-2023,0.3965110238809303,0.6034889761190697,16,6,2,24
70,2023,2024,2023-2024,0.3119748692656783,0.6880251307343217,19,3,2,24
72,2018,2019,2018-2019,0.4629429560637539,0.5370570439362461,5,6,3,14
72,2019,2020,2019-2020,0.0687416821520982,0.9312583178479018,8,2,3,13
72,2020,2021,2020-2021,0.009655123386320463,0.9903448766136795,7,4,3,14
72,2021,2022,2021-2022,0.0684557385126835,0.9315442614873165,7,4,3,14
