cmdCode,avg_weight,volatility,recent_growth,growth_persistence,avg_unit_value,country_diversity,log_weight,log_unit_value,cluster,PC1,PC2,postal_hs_score,cmdCode_clean,hs_desc,_merge,cluster_name
8523,77552.63450804206,0.9134304838955027,10.0,0.4265577507598784,676.0260525606164,188,11.258725034147897,6.517709754536126,1,1.551965587058166,0.861617678391103,0.8425373134328358,8523,Storage media and recording media,both,High-value expansion goods
3304,1121395.6274430554,0.9082474929390989,10.0,0.522327264239029,48.536009660794285,204,13.930085455214945,3.9026998729929674,2,3.3522495865978525,0.6903556165954209,0.8253731343283582,3304,"Beauty, make-up and skin-care preparations",both,Postal-friendly core goods
8536,326345.87084459804,0.8000086068333114,10.0,0.39062980030721967,59.85267833489241,186,12.695716115675426,4.108455833828773,2,2.1823579882123987,0.2668368116577386,0.7813432835820895,8536,Electrical switching or circuit protection apparatus,both,Postal-friendly core goods
3004,108204.83269739906,0.8950502846975481,10.0,0.3873964803312629,154.64916586992538,184,11.591790550571913,5.047604537862178,1,1.5033717795992583,0.6103391996983463,0.7802238805970149,3004,Medicaments in measured doses or retail sale,both,High-value expansion goods
1902,1536708.0909673015,0.7124613735672225,10.0,0.4793650793650793,4.464390546078429,180,14.24515373392838,1.6982525959364454,2,3.6279485637828945,-0.26848993859597853,0.764179104477612,1902,"Pasta, whether or not cooked or stuffed",both,Postal-friendly core goods
3307,509076.41540937993,0.8230478117077981,10.0,0.40638409209837784,22.103986908742574,182,13.14035537710987,3.1400051960872712,2,2.3868008844723914,0.2035854532940567,0.7485074626865671,3307,"Shaving, deodorant, bath and perfumery preparations",both,Postal-friendly core goods
3926,564116.3191446287,0.8626225993731329,10.0,0.3739110810200857,21.57890006789544,211,13.243017521516341,3.1170158448643086,2,2.409807695377619,0.46831923853686885,0.7369402985074626,3926,Other articles of plastics,both,Postal-friendly core goods
4901,122636.60965783527,0.8748503014121614,10.0,0.38731778425655977,13.739128045920022,196,11.716989022633598,2.6905057293750647,2,1.9874132544028555,0.3168888535439542,0.7361940298507462,4901,"Printed books, brochures and similar printed matter",both,Postal-friendly core goods
2103,744752.068687696,0.6611880102004211,10.0,0.444572611653357,4.987222228600578,161,13.520807990993621,1.7896275697779036,2,3.1179460946682522,-0.5289315119877622,0.7350746268656716,2103,"Sauces, mixed condiments and seasonings",both,Postal-friendly core goods
3923,1575478.465627804,0.7778918308014743,10.0,0.3878740567265157,13.625826949212097,183,14.270070206535534,2.6827889350552647,2,2.702553859271787,0.060142460309985234,0.7276119402985075,3923,Plastic packing and conveyance articles,both,Postal-friendly core goods
3305,259081.52684720382,0.9396978214090966,10.0,0.4230758582502768,16.729390654060513,172,12.464901926403545,2.8752237514222276,2,1.9200244545035396,0.4281463691304522,0.7000000000000001,3305,Hair preparations,both,Postal-friendly core goods
1905,377640.0465473809,0.6429378238999034,10.0,0.3992410714285714,5.815369596568955,160,12.841699411125795,1.919180296483373,2,2.658087076059927,-0.5945556410406401,0.7,1905,"Bread, pastry, cakes, biscuits and other bakers' wares",both,Postal-friendly core goods
8517,98411.65064408712,0.8869967239743328,7.014341813801954,0.355800045136538,436.4206204954886,211,11.496924638232942,6.080895250468192,1,1.3411682980745323,-0.040227300250565555,0.6944029850746268,8517,Telephone sets and communication apparatus,both,High-value expansion goods
3005,32064.74555190772,0.6709191838146694,10.0,0.3636793847973972,79.59023041221504,161,10.375543622580635,4.389377431399401,2,1.5004088712006876,-0.27950736073031346,0.6910447761194031,3005,"Wadding, gauze, bandages and similar medical articles",both,Postal-friendly core goods
3006,7305.598301907719,0.5924360087952394,0.9884839397296817,0.4351966873706004,216.14170389551484,161,8.896533095859338,5.380550153763408,2,1.36060250878155,-3.1354364207437184,0.6902985074626866,3006,Pharmaceutical goods,both,Postal-friendly core goods
2106,1100998.6707661983,0.9685407097823822,10.0,0.3763205828779599,47.58165164406963,183,13.911729116673163,3.883245921433096,1,1.8490314438304425,0.7475987933956894,0.6835820895522388,2106,Food preparations not elsewhere specified,both,High-value expansion goods
8544,1713551.276129613,1.0140612888954164,10.0,0.37021329365079364,33.0985532181839,192,14.354079128223383,3.5292549557701536,1,1.9186486107098122,0.8949703945183889,0.6619402985074627,8544,"Insulated wire, cable and conductors",both,High-value expansion goods
8525,17887.2413898777,0.9197216841356466,10.0,0.304839968774395,299.5487381332839,183,9.791898870378406,5.705609930951266,1,0.3323649871903938,0.6953769409202134,0.6455223880597016,8525,Transmission apparatus for radio or television,both,High-value expansion goods
8543,94644.00361461368,0.9635724593897861,3.468740075232932,0.37458697764820215,136.56073393167614,196,11.457888367231599,4.924065520906594,1,1.010126800455191,-1.1139777168867069,0.6384328358208955,8543,Electrical machines and apparatus with individual functions,both,High-value expansion goods
6204,59790.34230271652,1.0103797497820457,10.0,0.3610898050495366,141.53146530099386,149,10.998616151910896,4.959562784463738,1,0.4225904542858285,0.72544221542137,0.6231343283582089,6204,"Women's or girls' suits, ensembles, dresses and skirts",both,High-value expansion goods
6109,80535.7865527868,1.1544817777226246,10.0,0.4011634199134199,46.27685070321559,176,11.296469334836024,3.856020761387276,1,0.8065814331062948,1.148716618951742,0.6197761194029849,6109,"T-shirts, singlets and other vests, knitted or crocheted",both,High-value expansion goods
4911,36625.69556920206,0.9914304274199204,10.0,0.32299871299871297,14.69864057057948,185,10.508532640652604,2.7535741207441373,1,0.7582122077046254,0.557829645123598,0.6111940298507462,4911,Other printed matter,both,High-value expansion goods
6110,16520.129800426927,1.0454911376334866,10.0,0.3806732348111659,84.2895180944513,145,9.71239543459284,4.446051564115165,1,0.1756446852839674,0.6943503946676195,0.610820895522388,6110,"Jerseys, pullovers, cardigans and similar articles",both,High-value expansion goods
2101,234199.37075596015,0.9175042217690829,10.0,0.37245564892623717,11.354250001996293,153,12.363932313218626,2.5140001335912356,1,1.3995157756321397,0.2145430781017221,0.608955223880597,2101,"Coffee, tea or mate extracts and concentrates",both,High-value expansion goods
4909,2242.7210197701147,0.8938457961263478,8.23892673174174,0.41821018062397375,30.00776520341065,145,7.715890936173284,3.4342376635502574,1,0.4590317177260191,-0.46865664662456896,0.6018656716417911,4909,Printed postcards and greeting cards,both,High-value expansion goods
1904,239463.38206426764,0.8662868763257888,10.0,0.3856782106782107,8.008730881594081,132,12.386159966879006,2.1981942050501915,2,1.4310936211990641,-0.08126686347678898,0.6011194029850746,1904,Prepared foods obtained by swelling or roasting cereals,both,Postal-friendly core goods
3924,103007.7476858411,0.9269694911591305,10.0,0.33778529163144544,11.11418412350039,169,11.542569192594259,2.4943770076755736,1,1.1257798437057789,0.2930661953466219,0.5932835820895522,3924,"Plastic tableware, kitchenware and household articles",both,High-value expansion goods
1901,569949.627290459,0.7143433316654745,3.7154715998413885,0.47724292615596964,3.677127838474241,138,13.25330501727044,1.5426842118049295,2,2.5742981855192633,-2.425438763647715,0.5809701492537312,1901,Malt extract and food preparations of flour/starch/milk,both,Postal-friendly core goods
6104,15200.364494605394,1.0979761481437085,10.0,0.3708125208125208,137.0347809375729,143,9.629140472187272,4.927505689181037,1,-0.14509205710198755,0.8929657665020904,0.5641791044776119,6104,"Women's or girls' suits and ensembles, knitted or crocheted",both,High-value expansion goods
6115,39236.405406783146,0.9285250093561904,10.0,0.31884206920178143,46.37325388615544,139,10.577385790361273,3.858057805439026,1,0.25310607354500786,0.2817357953394298,0.5477611940298508,6115,"Pantyhose, socks and other hosiery",both,High-value expansion goods
3306,92772.1632529723,1.0470976313346936,8.525804039931815,0.398708372237784,37.4790359567369,153,11.437912687866715,3.6501135723843188,1,0.8055389076501817,0.25662472994385155,0.5380597014925373,3306,Oral or dental hygiene preparations,both,High-value expansion goods
6211,15408.225420819805,1.1001131045560548,10.0,0.3178165584415584,46.5706258376028,176,9.642721662340907,3.8622154664981325,1,-0.023467293436694157,0.9339869305262822,0.5197761194029852,6211,"Track suits, ski suits, swimwear and other garments",both,High-value expansion goods
4902,112133.35412379215,1.0369278794219934,10.0,0.3496002780674313,16.640144982842177,137,11.627453021734572,2.8701772695268524,1,0.4819151497384019,0.49256311233532024,0.5145522388059701,4902,"Newspapers, journals and periodicals",both,High-value expansion goods
2104,70475.43540550726,0.8570521417209614,10.0,0.3326501035196687,7.897966146558985,115,11.16303368335925,2.185822727764226,1,0.5855143023362888,-0.24205481630749898,0.5044776119402985,2104,"Soups, broths and preparations therefor",both,High-value expansion goods
6203,8519.765206435473,1.094399687772233,10.0,0.3146652864044168,122.20893862159086,138,9.050261428752329,4.813881602214202,0,-0.7268124218443611,0.8206111977702524,0.48768656716417913,6203,"Men's or boys' suits, ensembles and trousers",both,Apparel growth / volatile
8528,139519.39563147,1.0254967236252444,4.0279699405157405,0.31006728778467907,64.67793194935648,184,11.845966074800124,4.184762977884698,1,0.40595265173520967,-0.9136388061597287,0.4824626865671642,8528,"Monitors, projectors and television receivers",both,High-value expansion goods
8526,18289.219607114,1.0495645325619758,9.916461283905983,0.3026984126984127,427.91781190135447,165,9.814121748262746,6.061265319924576,1,-0.31892397761746677,0.9947313174553026,0.482089552238806,8526,Radar and radio navigational apparatus,both,High-value expansion goods
6102,2423.706488302277,0.8600022694034578,4.267478390593399,0.34528985507246374,121.91908894360363,92,7.793465760294527,4.811526325451572,3,-0.9455645295830456,-1.8572769057364396,0.43843283582089554,6102,"Women's or girls' overcoats, knitted or crocheted",both,Low-growth / niche goods
6206,18865.949096311477,1.005869553371491,4.3506306749670625,0.32199453551912566,130.9112119814053,122,9.845166945180278,4.882129059760438,3,-0.7152250095163755,-1.1770658979141702,0.4380597014925373,6206,Women's or girls' blouses and shirts,both,Low-growth / niche goods
6201,22475.305544761904,1.0885760596901075,10.0,0.3019047619047619,166.6266608684709,120,10.020216946407436,5.121739249791211,0,-0.8323953838068663,0.7834166309077591,0.42947761194029854,6201,Men's or boys' overcoats and similar coats,both,Apparel growth / volatile
6114,9233.471340586933,1.1367051111575734,10.0,0.31275378368401624,64.97133028528208,129,9.13069864579574,4.189220258034987,0,-0.8887650606932631,0.8174501054121154,0.4294776119402985,6114,"Other garments, knitted or crocheted",both,Apparel growth / volatile
6103,10054.76942865283,1.0391735481037776,10.0,0.2912698412698413,97.37889915288511,117,9.215901821273409,4.58882634155957,0,-0.9287749261559771,0.5293186692697485,0.4223880597014925,6103,"Men's or boys' suits and ensembles, knitted or crocheted",both,Apparel growth / volatile
6209,2458.6648144878704,1.0464223745704146,10.0,0.2853548966756514,20084985.26058993,106,7.807780365369728,16.81548314171205,4,-2.7529506665568957,2.012656835241206,0.4208955223880597,6209,Babies' garments and clothing accessories,both,Premium anomaly goods
